ID,Gene Name,UniProt ID,Species,Drug IDs
4,F13A1,P00488,Humans,DB01839; DB11300; DB11311; DB11571; DB11572; DB13151
14,ABL1,P00519,Humans,DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12010; DB12267
16,F8,P00451,Humans,DB00055; DB00100; DB11300; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
25,COL1A1,P02452,Humans,DB00048; DB11338; DB12872; DB13133
30,SLC7A11,Q9UPY5,Humans,DB00138; DB00142; DB00740; DB00795; DB06151; DB11590
35,CTNS,O60931,Humans,DB00138
37,NDUFS8,O00217,Humans,DB00157
48,F2,P00734,Humans,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01593; DB04898; DB05777; DB06404; DB06695; DB09109; DB09130; DB09228; DB09332; DB11166; DB13151; DB13152; DB14487; DB14533; DB14738
70,PLA2G10,O15496,Humans,DB13893; DB13894
77,HPRT1,P00492,Humans,DB00993; DB01033; DB01632
81,NDUFA10,O95299,Humans,DB00157
89,NDUFS5,O43920,Humans,DB00157
93,NDUFS6,O75380,Humans,DB00157
106,SLC22A5,O76082,Humans,DB00583
119,ABCA1,O95477,Humans,DB01016; DB01599
160,CYB5R3,P00387,Humans,DB00157; DB03147; DB09130
169,NDUFA4,O00483,Humans,DB00157
173,NDUFC2,O95298,Humans,DB00157; DB01136
180,GLUD1,P00367,Humans,DB00142; DB00157; DB00756; DB11081
182,PDE5A,O76074,Humans,DB00203; DB00277; DB00806; DB00820; DB00862; DB00975; DB04272; DB06237; DB06267; DB12010
191,NDUFS3,O75489,Humans,DB00157
210,KCNK2,O95069,Humans,DB00204; DB04855
211,PLG,P00747,Humans,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513; DB06692; DB09130
216,F10,P00742,Humans,DB00025; DB00036; DB00100; DB00170; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075; DB09109; DB09141; DB09258; DB09332; DB11166; DB12364; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738
224,NDUFA1,O15239,Humans,DB00157
243,NDUFB5,O43674,Humans,DB00157
245,NDUFB10,O96000,Humans,DB00157
250,PNP,P00491,Humans,DB00242; DB00900
254,PRKAB1,Q9Y478,Humans,DB00131; DB00331
267,CA1,P00915,Humans,DB00232; DB00273; DB00310; DB00381; DB00423; DB00436; DB00562; DB00606; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB01021; DB01031; DB01119; DB01144; DB01194; DB01325; DB09460; DB09472
270,REN,P00797,Humans,DB00350; DB00722; DB09026
280,SERPINC1,P01008,Humans,DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813; DB09130; DB09141; DB09258; DB11598
284,NDUFB3,O43676,Humans,DB00157
295,NDUFB4,O95168,Humans,DB00157
306,OTC,P00480,Humans,DB00129; DB00155
307,NDUFS7,O75251,Humans,DB00157
314,RBP4,P02753,Humans,DB00755
322,CA2,P00918,Humans,DB00232; DB00273; DB00391; DB00436; DB00482; DB00562; DB00580; DB00606; DB00695; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB01021; DB01031; DB01119; DB01144; DB01194; DB01325; DB03904; DB09460; DB09472
