ID	Gene Name	UniProt ID	Species	Drug IDs
1	ftsI	P45059	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	DB00303
2	HDC	P19113	Humans	DB00114
3	GLS2	Q9UI32	Humans	DB00142
4	F13A1	P00488	Humans	DB01839; DB11300; DB11311; DB11571; DB11572; DB13151
5	NOS2	P35228	Humans	DB00155; DB01110; DB01234; DB08814; DB09237; DB11327
6	HSD17B2	P37059	Humans	DB00157; DB00783; DB13952; DB13953; DB13954; DB13955; DB13956
7	PYGL	P06737	Humans	DB00114; DB00131
8	NNT	Q13423	Humans	DB00157; DB09092
9	ADH5	P11766	Humans	DB00157; DB03017
10	AMT	P48728	Humans	DB00157
11	IDH3A	P50213	Humans	DB00157; DB06757; DB09092; DB09130
12	CACNA1I	Q9P0X4	Humans	DB00381; DB00568; DB00617; DB00909; DB04841; DB06152; DB09061
13	ADORA1	P30542	Humans	DB00193; DB00201; DB00277; DB00555; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB04932; DB09061; DB11757
14	ABL1	P00519	Humans	DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12010; DB12267
15	FCER1A	P12319	Humans	DB00043; DB00895
16	F8	P00451	Humans	DB00055; DB00100; DB11300; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
17	PTGS1	P23219	Humans	DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01399; DB01401; DB01419; DB01435; DB01600; DB02266; DB02709; DB04817; DB06725; DB06736; DB06802; DB08814; DB09061; DB09212; DB09213; DB09214; DB09216; DB11071; DB11079; DB11201; DB11323; DB13346; DB13501; DB13783
19	rpsD	P0A7V8	Escherichia coli (strain K12)	DB00256; DB00595; DB00618; DB01017; DB12329
20	DRD1	P21728	Humans	DB00246; DB00248; DB00334; DB00353; DB00363; DB00372; DB00397; DB00408; DB00420; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00777; DB00800; DB00805; DB00850; DB00875; DB00988; DB01063; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01621; DB01623; DB01624; DB04946; DB05271; DB06077; DB06216; DB14185
21	TMP1	P12461	Yeast	DB01099
22	SLC13A1	Q9BZW2	Humans	DB00139
23	FLT4	P35916	Humans	DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB12010
24	SCNN1B	P51168	Humans	DB00384; DB00594
25	COL1A1	P02452	Humans	DB00048; DB11338; DB12872; DB13133
26	TUBB1	Q9H4B7	Humans	DB00309; DB01229; DB01248; DB06772; DB08871
27	NDUFV3	P56181	Humans	DB00157; DB09270
28	FARS2	O95363	Humans	DB00120
29	FLT1	P17948	Humans	DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB12010
30	SLC7A11	Q9UPY5	Humans	DB00138; DB00142; DB00740; DB00795; DB06151; DB11590
