UniProt_ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Betweenness,Betweenness(Weight),Closeness,Closeness(Weight),Degree,Degree(Weight),Eigenvector,Eigenvector(Weight),Label
A0A096LP01,3.16,0,3.16,8.42,3.16,8.42,0,2.11,6.32,5.26,3.16,3.16,5.26,1.05,5.26,11.58,8.42,9.47,4.21,8.42,0.12,0.12,0.77,0.3,0.44,0.34,0.05,0.16,0.12,0.12,0.77,0.44,0.2,0.41,0.2,0.03,0.33,0.36,0.32,0.36,0.27,0.37,0.23,0.53,0.47,0.09,-0.34,-0.24,-0.42,-0.07,3.97,-0.16,0,-0.16,-0.3,-0.16,-0.3,0,-0.12,-0.25,-0.22,-0.16,-0.16,-0.22,-0.07,-0.22,-0.36,-0.3,-0.32,-0.19,-0.3,0,0,0.25,0.15,1,0.41,0,0,0
A0AV02,6.72,1.96,2.66,5.18,5.88,9.1,1.4,4.9,2.66,13.59,3.08,2.52,4.76,5.18,3.64,9.1,5.18,7.7,1.96,2.8,0.08,0.08,0.85,0.24,0.58,0.47,0.05,0.11,0.08,0.08,0.85,0.56,0.15,0.36,0.14,0.05,0.42,0.3,0.28,0.52,0.23,0.26,0.27,0.5,0.5,-0.41,-0.72,-0.22,-0.45,0.13,4.09,-0.26,-0.11,-0.14,-0.22,-0.24,-0.32,-0.09,-0.21,-0.14,-0.39,-0.16,-0.13,-0.21,-0.22,-0.17,-0.32,-0.22,-0.29,-0.11,-0.14,0,0,0.25,0.18,1,0.96,0,0,1
A0AV96,14.33,1.35,3.71,6.75,2.7,9.11,1.69,5.73,4.89,4.38,3.04,3.2,7.76,3.37,5.73,4.22,4.05,7.59,0.51,5.9,0.12,0.11,0.77,0.19,0.55,0.49,0.08,0.09,0.11,0.12,0.77,0.51,0.23,0.31,0.08,0.04,0.44,0.28,0.28,0.46,0.3,0.27,0.29,0.55,0.45,0.13,-0.64,-0.16,-0.33,0.18,4.07,-0.4,-0.08,-0.18,-0.26,-0.14,-0.32,-0.1,-0.24,-0.21,-0.2,-0.15,-0.16,-0.29,-0.17,-0.24,-0.19,-0.19,-0.28,-0.04,-0.24,217.02,178,0.34,0.2,10,4.73,0,0,1
A0AVF1,8.12,1.99,4.87,8.12,4.87,5.05,2.17,5.05,7.22,11.73,2.89,5.23,2.35,4.69,5.23,5.42,3.07,4.87,1.08,5.96,0.15,0.13,0.72,0.21,0.46,0.37,0.02,0.12,0.13,0.15,0.72,0.46,0.22,0.31,0.09,0.05,0.5,0.27,0.23,0.43,0.33,0.22,0.21,0.41,0.59,0.03,-0.23,-0.31,-0.39,0.03,4.15,-0.29,-0.11,-0.21,-0.29,-0.21,-0.22,-0.12,-0.22,-0.27,-0.36,-0.15,-0.22,-0.13,-0.21,-0.22,-0.23,-0.15,-0.21,-0.07,-0.24,0,0,0.23,0.13,1,0.53,0,0,1
A0AVI4,11.05,4.97,3.31,4.7,4.14,3.59,2.76,3.04,1.93,11.88,1.66,1.93,5.52,4.7,6.63,6.63,7.46,8.56,2.76,2.76,0.11,0.08,0.81,0.27,0.52,0.44,0.06,0.1,0.08,0.11,0.81,0.61,0.19,0.3,0.14,0.07,0.45,0.34,0.21,0.5,0.22,0.27,0.26,0.53,0.47,-0.23,-0.55,-0.19,-0.27,0.11,4.11,-0.35,-0.22,-0.16,-0.21,-0.19,-0.17,-0.14,-0.15,-0.11,-0.37,-0.1,-0.11,-0.23,-0.21,-0.26,-0.26,-0.28,-0.3,-0.14,-0.14,162.24,153,0.29,0.18,4,2.31,0,0,1
A0AVK6,6.81,1.27,3.23,6.81,3,5.54,2.31,4.84,7.38,8.42,1.85,4.84,9.11,3.92,4.5,12,5.88,6.46,0.35,1.5,0.14,0.1,0.76,0.25,0.46,0.41,0.09,0.05,0.1,0.14,0.76,0.48,0.28,0.37,0.18,0.03,0.42,0.23,0.35,0.37,0.35,0.33,0.26,0.55,0.45,0.31,-0.53,-0.2,-0.44,0.26,4.07,-0.26,-0.08,-0.16,-0.26,-0.15,-0.23,-0.13,-0.21,-0.28,-0.3,-0.11,-0.21,-0.32,-0.18,-0.2,-0.37,-0.24,-0.26,-0.03,-0.09,597.38,137,0.38,0.26,51,29.81,0.01,0.01,1
A0AVT1,6.84,2.19,5.61,7.32,5.13,5.13,2.95,6.37,7.22,9.79,1.71,4.09,5.32,3.8,3.42,6.75,6.65,6.18,1.14,2.38,0.14,0.13,0.74,0.22,0.48,0.4,0.05,0.09,0.13,0.14,0.74,0.51,0.23,0.35,0.13,0.04,0.43,0.3,0.27,0.43,0.33,0.26,0.21,0.49,0.51,0.06,-0.45,-0.23,-0.45,0.14,4.17,-0.27,-0.12,-0.23,-0.28,-0.22,-0.22,-0.15,-0.25,-0.27,-0.33,-0.1,-0.19,-0.23,-0.18,-0.17,-0.26,-0.26,-0.25,-0.07,-0.13,3337.16,3874.5,0.35,0.25,28,17.67,0,0,1
A0FGR8,5.97,0.98,5.1,5.86,3.37,7.6,2.5,5.1,5.65,12.49,1.41,3.69,6.62,4.45,7.38,8.25,4.34,6.41,1.3,1.52,0.16,0.11,0.74,0.2,0.5,0.44,0.07,0.06,0.11,0.16,0.74,0.48,0.26,0.36,0.13,0.02,0.46,0.23,0.31,0.43,0.31,0.25,0.23,0.49,0.51,0.15,-0.47,-0.37,-0.37,0.23,4.1,-0.24,-0.07,-0.22,-0.24,-0.17,-0.28,-0.13,-0.22,-0.23,-0.38,-0.09,-0.18,-0.26,-0.2,-0.28,-0.3,-0.2,-0.25,-0.08,-0.09,37.46,50,0.3,0.18,2,1.09,0,0,1
A0FGR9,4.85,2.37,5.19,6.43,4.18,5.98,1.92,3.84,5.98,13.21,1.24,3.5,7.22,3.61,6.88,6.66,6.09,7,1.69,2.14,0.15,0.12,0.74,0.21,0.49,0.42,0.07,0.08,0.12,0.15,0.74,0.52,0.26,0.34,0.13,0.04,0.44,0.27,0.29,0.43,0.32,0.25,0.2,0.49,0.51,0.01,-0.4,-0.33,-0.38,0.16,4.12,-0.21,-0.13,-0.22,-0.26,-0.19,-0.24,-0.11,-0.18,-0.24,-0.39,-0.08,-0.17,-0.27,-0.17,-0.27,-0.26,-0.25,-0.27,-0.1,-0.12,0,0,0.25,0.14,1,0.43,0,0,1
A0JLT2,5.74,1.23,4.51,4.51,3.28,9.02,3.69,2.46,12.3,7.79,2.46,3.69,15.98,2.87,3.69,9.02,5.74,0.82,0,1.23,0.2,0.09,0.71,0.2,0.48,0.42,0.16,0.05,0.09,0.2,0.71,0.46,0.39,0.36,0.15,0.04,0.43,0.15,0.42,0.3,0.44,0.38,0.25,0.56,0.44,0.5,-0.37,-0.02,-0.12,0.39,3.9,-0.24,-0.08,-0.2,-0.2,-0.16,-0.31,-0.18,-0.13,-0.37,-0.29,-0.13,-0.18,-0.42,-0.15,-0.18,-0.31,-0.24,-0.06,0,-0.08,365.54,392,0.36,0.24,20,13.81,0,0,1
